id_a,id_b,short_a,short_b,label_a,label_b,same_label,mode_a,mode_b,activity_a,activity_b,clip_cosine,phash_sim,clip_minus_phash
8fae381b-b939-561a-9b10-8ef4c18f1717,9564681e-3740-56c4-aebb-e91bbe5e8984,8fae381b,9564681e,ontask,ontask,1,guardian,guardian,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",Reading documentation and code,0.89256,0.578125,0.314435
7b53754b-34cb-5caa-bd5d-074bf0bff058,9564681e-3740-56c4-aebb-e91bbe5e8984,7b53754b,9564681e,ontask,ontask,1,guardian,guardian,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,Reading documentation and code,0.892435,0.53125,0.361185
9564681e-3740-56c4-aebb-e91bbe5e8984,aa018a39-834b-5c92-9d4d-7d262ab0a940,9564681e,aa018a39,ontask,ontask,1,guardian,guardian,Reading documentation and code,Coding and running a script in a terminal,0.89103,0.5625,0.32853
37433e1f-7e78-52bb-af11-18977670613a,3f304421-40f7-5a0f-88f9-15e514c25442,37433e1f,3f304421,ontask,ontask,1,guardian,session,Using ChatGPT to write an email,using ChatGPT,0.885969,0.734375,0.151594
9564681e-3740-56c4-aebb-e91bbe5e8984,b6206d50-c064-5090-8102-73c4b04213e5,9564681e,b6206d50,ontask,ontask,1,guardian,guardian,Reading documentation and code,Working in a code editor (VS Code) dealing with a connection error and viewing technical documentation.,0.884886,0.5,0.384886
9564681e-3740-56c4-aebb-e91bbe5e8984,b5906b35-2308-5dd5-995c-2c657973ab47,9564681e,b5906b35,ontask,ontask,1,guardian,guardian,Reading documentation and code,Coding on LeetCode,0.88206,0.40625,0.47581
82e251b1-4374-54d7-b5aa-60f5774d6a50,e308367d-523f-508c-ac1f-7f817ec62188,82e251b1,e308367d,ontask,ontask,1,guardian,guardian,editing a resume in Overleaf,reading an article on zenn.dev,0.87873,0.453125,0.425605
37433e1f-7e78-52bb-af11-18977670613a,8330fdcc-f68b-5c52-9abf-30110fed1bae,37433e1f,8330fdcc,ontask,process,0,guardian,guardian,Using ChatGPT to write an email,browsing Google,0.877237,0.59375,0.283487
82e251b1-4374-54d7-b5aa-60f5774d6a50,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,82e251b1,bb6bb333,ontask,ontask,1,guardian,session,editing a resume in Overleaf,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.869959,0.421875,0.448084
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,ffc8db33-1d0f-51a0-99e3-da6f730124d7,5c742c5b,ffc8db33,ontask,process,0,session,session,listening to music,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.869118,0.703125,0.165993
3f304421-40f7-5a0f-88f9-15e514c25442,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,3f304421,c2c524d7,ontask,ontask,1,session,guardian,using ChatGPT,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.867173,0.65625,0.210923
3f304421-40f7-5a0f-88f9-15e514c25442,8330fdcc-f68b-5c52-9abf-30110fed1bae,3f304421,8330fdcc,ontask,process,0,session,guardian,using ChatGPT,browsing Google,0.867158,0.546875,0.320283
aa018a39-834b-5c92-9d4d-7d262ab0a940,f543a490-cbee-51af-a579-2a0759c93f0f,aa018a39,f543a490,ontask,ontask,1,guardian,session,Coding and running a script in a terminal,shopping online,0.862388,0.703125,0.159263
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,aa018a39-834b-5c92-9d4d-7d262ab0a940,5c742c5b,aa018a39,ontask,ontask,1,session,guardian,listening to music,Coding and running a script in a terminal,0.860758,0.546875,0.313883
7b731675-22bc-5aea-97b4-6e4257cc09e7,9564681e-3740-56c4-aebb-e91bbe5e8984,7b731675,9564681e,ontask,ontask,1,guardian,guardian,browsing files in a directory,Reading documentation and code,0.859154,0.671875,0.187279
7b53754b-34cb-5caa-bd5d-074bf0bff058,aa018a39-834b-5c92-9d4d-7d262ab0a940,7b53754b,aa018a39,ontask,ontask,1,guardian,guardian,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,Coding and running a script in a terminal,0.857824,0.5,0.357824
82e251b1-4374-54d7-b5aa-60f5774d6a50,8fae381b-b939-561a-9b10-8ef4c18f1717,82e251b1,8fae381b,ontask,ontask,1,guardian,guardian,editing a resume in Overleaf,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",0.856792,0.53125,0.325542
8330fdcc-f68b-5c52-9abf-30110fed1bae,f543a490-cbee-51af-a579-2a0759c93f0f,8330fdcc,f543a490,process,ontask,0,guardian,session,browsing Google,shopping online,0.854868,0.546875,0.307993
8330fdcc-f68b-5c52-9abf-30110fed1bae,ffc8db33-1d0f-51a0-99e3-da6f730124d7,8330fdcc,ffc8db33,process,process,1,guardian,session,browsing Google,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.854715,0.375,0.479715
7b53754b-34cb-5caa-bd5d-074bf0bff058,e308367d-523f-508c-ac1f-7f817ec62188,7b53754b,e308367d,ontask,ontask,1,guardian,guardian,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,reading an article on zenn.dev,0.85273,0.46875,0.38398
9564681e-3740-56c4-aebb-e91bbe5e8984,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,9564681e,c2c524d7,ontask,ontask,1,guardian,guardian,Reading documentation and code,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.852635,0.359375,0.49326
7b731675-22bc-5aea-97b4-6e4257cc09e7,aa018a39-834b-5c92-9d4d-7d262ab0a940,7b731675,aa018a39,ontask,ontask,1,guardian,guardian,browsing files in a directory,Coding and running a script in a terminal,0.851869,0.765625,0.086244
8fae381b-b939-561a-9b10-8ef4c18f1717,aa018a39-834b-5c92-9d4d-7d262ab0a940,8fae381b,aa018a39,ontask,ontask,1,guardian,guardian,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",Coding and running a script in a terminal,0.84872,0.484375,0.364345
37433e1f-7e78-52bb-af11-18977670613a,f543a490-cbee-51af-a579-2a0759c93f0f,37433e1f,f543a490,ontask,ontask,1,guardian,session,Using ChatGPT to write an email,shopping online,0.848486,0.703125,0.145361
37433e1f-7e78-52bb-af11-18977670613a,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,37433e1f,c2c524d7,ontask,ontask,1,guardian,guardian,Using ChatGPT to write an email,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.848021,0.578125,0.269896
b5906b35-2308-5dd5-995c-2c657973ab47,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,b5906b35,c2c524d7,ontask,ontask,1,guardian,guardian,Coding on LeetCode,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.847103,0.734375,0.112728
37433e1f-7e78-52bb-af11-18977670613a,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,37433e1f,5c742c5b,ontask,ontask,1,guardian,session,Using ChatGPT to write an email,listening to music,0.845378,0.671875,0.173503
7b731675-22bc-5aea-97b4-6e4257cc09e7,f543a490-cbee-51af-a579-2a0759c93f0f,7b731675,f543a490,ontask,ontask,1,guardian,session,browsing files in a directory,shopping online,0.844861,0.65625,0.188611
3f304421-40f7-5a0f-88f9-15e514c25442,aa018a39-834b-5c92-9d4d-7d262ab0a940,3f304421,aa018a39,ontask,ontask,1,session,guardian,using ChatGPT,Coding and running a script in a terminal,0.84238,0.609375,0.233005
8fae381b-b939-561a-9b10-8ef4c18f1717,b6206d50-c064-5090-8102-73c4b04213e5,8fae381b,b6206d50,ontask,ontask,1,guardian,guardian,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",Working in a code editor (VS Code) dealing with a connection error and viewing technical documentation.,0.840334,0.421875,0.418459
8c0d8dba-5ca5-57d3-b833-d15dd082223e,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,8c0d8dba,bb6bb333,entertainment,ontask,0,guardian,session,reading a novel,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.84023,0.28125,0.55898
9564681e-3740-56c4-aebb-e91bbe5e8984,f543a490-cbee-51af-a579-2a0759c93f0f,9564681e,f543a490,ontask,ontask,1,guardian,session,Reading documentation and code,shopping online,0.838914,0.578125,0.260789
aa018a39-834b-5c92-9d4d-7d262ab0a940,ffc8db33-1d0f-51a0-99e3-da6f730124d7,aa018a39,ffc8db33,ontask,process,0,guardian,session,Coding and running a script in a terminal,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.83703,0.6875,0.14953
8c0d8dba-5ca5-57d3-b833-d15dd082223e,e3548dcc-9539-5c64-9769-8a543bacffd1,8c0d8dba,e3548dcc,entertainment,entertainment,1,guardian,guardian,reading a novel,Reading a manga titled '青梅竹馬是墮入黑暗的聖女',0.836048,0.390625,0.445423
8330fdcc-f68b-5c52-9abf-30110fed1bae,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,8330fdcc,c2c524d7,process,ontask,0,guardian,guardian,browsing Google,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.835371,0.359375,0.475996
aa018a39-834b-5c92-9d4d-7d262ab0a940,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,aa018a39,c2c524d7,ontask,ontask,1,guardian,guardian,Coding and running a script in a terminal,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.834378,0.609375,0.225003
82e251b1-4374-54d7-b5aa-60f5774d6a50,9564681e-3740-56c4-aebb-e91bbe5e8984,82e251b1,9564681e,ontask,ontask,1,guardian,guardian,editing a resume in Overleaf,Reading documentation and code,0.833479,0.546875,0.286604
7b53754b-34cb-5caa-bd5d-074bf0bff058,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,7b53754b,bb6bb333,ontask,ontask,1,guardian,session,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.833253,0.46875,0.364503
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,5c742c5b,c2c524d7,ontask,ontask,1,session,guardian,listening to music,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.832645,0.75,0.082645
37433e1f-7e78-52bb-af11-18977670613a,7b731675-22bc-5aea-97b4-6e4257cc09e7,37433e1f,7b731675,ontask,ontask,1,guardian,guardian,Using ChatGPT to write an email,browsing files in a directory,0.831133,0.515625,0.315508
7b731675-22bc-5aea-97b4-6e4257cc09e7,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,7b731675,c2c524d7,ontask,ontask,1,guardian,guardian,browsing files in a directory,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.830351,0.46875,0.361601
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,7b731675-22bc-5aea-97b4-6e4257cc09e7,5c742c5b,7b731675,ontask,ontask,1,session,guardian,listening to music,browsing files in a directory,0.829129,0.4375,0.391629
ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,ad5aaf5f,bb6bb333,ontask,ontask,1,guardian,session,user is interacting with a blocked application or task manager,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.829112,0.5,0.329112
8fae381b-b939-561a-9b10-8ef4c18f1717,e308367d-523f-508c-ac1f-7f817ec62188,8fae381b,e308367d,ontask,ontask,1,guardian,guardian,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",reading an article on zenn.dev,0.828689,0.484375,0.344314
37433e1f-7e78-52bb-af11-18977670613a,ffc8db33-1d0f-51a0-99e3-da6f730124d7,37433e1f,ffc8db33,ontask,process,0,guardian,session,Using ChatGPT to write an email,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.828626,0.59375,0.234876
3f304421-40f7-5a0f-88f9-15e514c25442,7b731675-22bc-5aea-97b4-6e4257cc09e7,3f304421,7b731675,ontask,ontask,1,session,guardian,using ChatGPT,browsing files in a directory,0.828363,0.625,0.203363
710cf89d-f859-593e-a988-988f41bf6b0f,ffc8db33-1d0f-51a0-99e3-da6f730124d7,710cf89d,ffc8db33,ontask,process,0,guardian,session,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.","The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.82746,0.53125,0.29621
710cf89d-f859-593e-a988-988f41bf6b0f,ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,710cf89d,ad5aaf5f,ontask,ontask,1,guardian,guardian,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.",user is interacting with a blocked application or task manager,0.825657,0.59375,0.231907
7b731675-22bc-5aea-97b4-6e4257cc09e7,eaa1fff2-4e54-5189-b894-6d46d636db4e,7b731675,eaa1fff2,ontask,entertainment,0,guardian,guardian,browsing files in a directory,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps",0.824947,0.53125,0.293697
94d26614-4322-5882-b6e9-83f76884af64,9564681e-3740-56c4-aebb-e91bbe5e8984,94d26614,9564681e,ontask,ontask,1,guardian,guardian,Browsing files in a folder named '01 Research',Reading documentation and code,0.824479,0.59375,0.230729
aa018a39-834b-5c92-9d4d-7d262ab0a940,e308367d-523f-508c-ac1f-7f817ec62188,aa018a39,e308367d,ontask,ontask,1,guardian,guardian,Coding and running a script in a terminal,reading an article on zenn.dev,0.823126,0.5,0.323126
b5906b35-2308-5dd5-995c-2c657973ab47,ffc8db33-1d0f-51a0-99e3-da6f730124d7,b5906b35,ffc8db33,ontask,process,0,guardian,session,Coding on LeetCode,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.822798,0.6875,0.135298
82e251b1-4374-54d7-b5aa-60f5774d6a50,8c0d8dba-5ca5-57d3-b833-d15dd082223e,82e251b1,8c0d8dba,ontask,entertainment,0,guardian,guardian,editing a resume in Overleaf,reading a novel,0.822149,0.734375,0.087774
bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,e308367d-523f-508c-ac1f-7f817ec62188,bb6bb333,e308367d,ontask,ontask,1,session,guardian,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,reading an article on zenn.dev,0.821684,0.65625,0.165434
94d26614-4322-5882-b6e9-83f76884af64,b6206d50-c064-5090-8102-73c4b04213e5,94d26614,b6206d50,ontask,ontask,1,guardian,guardian,Browsing files in a folder named '01 Research',Working in a code editor (VS Code) dealing with a connection error and viewing technical documentation.,0.821169,0.46875,0.352419
3f304421-40f7-5a0f-88f9-15e514c25442,ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,3f304421,ad5aaf5f,ontask,ontask,1,session,guardian,using ChatGPT,user is interacting with a blocked application or task manager,0.821005,0.578125,0.24288
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,8330fdcc-f68b-5c52-9abf-30110fed1bae,5c742c5b,8330fdcc,ontask,process,0,session,guardian,listening to music,browsing Google,0.820812,0.484375,0.336437
37433e1f-7e78-52bb-af11-18977670613a,94d26614-4322-5882-b6e9-83f76884af64,37433e1f,94d26614,ontask,ontask,1,guardian,guardian,Using ChatGPT to write an email,Browsing files in a folder named '01 Research',0.820683,0.59375,0.226933
7b731675-22bc-5aea-97b4-6e4257cc09e7,b6206d50-c064-5090-8102-73c4b04213e5,7b731675,b6206d50,ontask,ontask,1,guardian,guardian,browsing files in a directory,Working in a code editor (VS Code) dealing with a connection error and viewing technical documentation.,0.820291,0.484375,0.335916
e2da4cd4-88ce-57ef-b228-e44d2babaaaa,f543a490-cbee-51af-a579-2a0759c93f0f,e2da4cd4,f543a490,ontask,ontask,1,guardian,session,browsing a comment section on a website,shopping online,0.820223,0.375,0.445223
82e251b1-4374-54d7-b5aa-60f5774d6a50,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,82e251b1,c2c524d7,ontask,ontask,1,guardian,guardian,editing a resume in Overleaf,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.819837,0.28125,0.538587
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,5c742c5b,bb6bb333,ontask,ontask,1,session,session,listening to music,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.819823,0.640625,0.179198
710cf89d-f859-593e-a988-988f41bf6b0f,82e251b1-4374-54d7-b5aa-60f5774d6a50,710cf89d,82e251b1,ontask,ontask,1,guardian,guardian,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.",editing a resume in Overleaf,0.819582,0.328125,0.491457
710cf89d-f859-593e-a988-988f41bf6b0f,f543a490-cbee-51af-a579-2a0759c93f0f,710cf89d,f543a490,ontask,ontask,1,guardian,session,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.",shopping online,0.819512,0.671875,0.147637
7b731675-22bc-5aea-97b4-6e4257cc09e7,8330fdcc-f68b-5c52-9abf-30110fed1bae,7b731675,8330fdcc,ontask,process,0,guardian,guardian,browsing files in a directory,browsing Google,0.819366,0.484375,0.334991
82e251b1-4374-54d7-b5aa-60f5774d6a50,b5906b35-2308-5dd5-995c-2c657973ab47,82e251b1,b5906b35,ontask,ontask,1,guardian,guardian,editing a resume in Overleaf,Coding on LeetCode,0.818605,0.203125,0.61548
3f304421-40f7-5a0f-88f9-15e514c25442,e2da4cd4-88ce-57ef-b228-e44d2babaaaa,3f304421,e2da4cd4,ontask,ontask,1,session,guardian,using ChatGPT,browsing a comment section on a website,0.817617,0.53125,0.286367
8fae381b-b939-561a-9b10-8ef4c18f1717,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,8fae381b,bb6bb333,ontask,ontask,1,guardian,session,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.816848,0.578125,0.238723
9564681e-3740-56c4-aebb-e91bbe5e8984,ffc8db33-1d0f-51a0-99e3-da6f730124d7,9564681e,ffc8db33,ontask,process,0,guardian,session,Reading documentation and code,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.81573,0.4375,0.37823
7b731675-22bc-5aea-97b4-6e4257cc09e7,e308367d-523f-508c-ac1f-7f817ec62188,7b731675,e308367d,ontask,ontask,1,guardian,guardian,browsing files in a directory,reading an article on zenn.dev,0.815286,0.546875,0.268411
37433e1f-7e78-52bb-af11-18977670613a,eaa1fff2-4e54-5189-b894-6d46d636db4e,37433e1f,eaa1fff2,ontask,entertainment,0,guardian,guardian,Using ChatGPT to write an email,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps",0.814326,0.609375,0.204951
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,e2da4cd4-88ce-57ef-b228-e44d2babaaaa,5c742c5b,e2da4cd4,ontask,ontask,1,session,guardian,listening to music,browsing a comment section on a website,0.814103,0.25,0.564103
9564681e-3740-56c4-aebb-e91bbe5e8984,e308367d-523f-508c-ac1f-7f817ec62188,9564681e,e308367d,ontask,ontask,1,guardian,guardian,Reading documentation and code,reading an article on zenn.dev,0.811806,0.71875,0.093056
94d26614-4322-5882-b6e9-83f76884af64,aa018a39-834b-5c92-9d4d-7d262ab0a940,94d26614,aa018a39,ontask,ontask,1,guardian,guardian,Browsing files in a folder named '01 Research',Coding and running a script in a terminal,0.811802,0.75,0.061802
7b53754b-34cb-5caa-bd5d-074bf0bff058,b6206d50-c064-5090-8102-73c4b04213e5,7b53754b,b6206d50,ontask,ontask,1,guardian,guardian,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,Working in a code editor (VS Code) dealing with a connection error and viewing technical documentation.,0.81163,0.4375,0.37413
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,9564681e-3740-56c4-aebb-e91bbe5e8984,5c742c5b,9564681e,ontask,ontask,1,session,guardian,listening to music,Reading documentation and code,0.81152,0.359375,0.452145
82e251b1-4374-54d7-b5aa-60f5774d6a50,aa018a39-834b-5c92-9d4d-7d262ab0a940,82e251b1,aa018a39,ontask,ontask,1,guardian,guardian,editing a resume in Overleaf,Coding and running a script in a terminal,0.810496,0.328125,0.482371
aa018a39-834b-5c92-9d4d-7d262ab0a940,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,aa018a39,bb6bb333,ontask,ontask,1,guardian,session,Coding and running a script in a terminal,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.809612,0.625,0.184612
7b53754b-34cb-5caa-bd5d-074bf0bff058,7b731675-22bc-5aea-97b4-6e4257cc09e7,7b53754b,7b731675,ontask,ontask,1,guardian,guardian,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,browsing files in a directory,0.808712,0.515625,0.293087
3f304421-40f7-5a0f-88f9-15e514c25442,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,3f304421,bb6bb333,ontask,ontask,1,session,session,using ChatGPT,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,0.807509,0.859375,-0.051866
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,5c742c5b,ad5aaf5f,ontask,ontask,1,session,guardian,listening to music,user is interacting with a blocked application or task manager,0.8075,0.390625,0.416875
3f304421-40f7-5a0f-88f9-15e514c25442,710cf89d-f859-593e-a988-988f41bf6b0f,3f304421,710cf89d,ontask,ontask,1,session,guardian,using ChatGPT,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.",0.806756,0.703125,0.103631
b5906b35-2308-5dd5-995c-2c657973ab47,f543a490-cbee-51af-a579-2a0759c93f0f,b5906b35,f543a490,ontask,ontask,1,guardian,session,Coding on LeetCode,shopping online,0.806233,0.703125,0.103108
bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,e2da4cd4-88ce-57ef-b228-e44d2babaaaa,bb6bb333,e2da4cd4,ontask,ontask,1,session,guardian,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ende,browsing a comment section on a website,0.805811,0.578125,0.227686
e308367d-523f-508c-ac1f-7f817ec62188,eaa1fff2-4e54-5189-b894-6d46d636db4e,e308367d,eaa1fff2,ontask,entertainment,0,guardian,guardian,reading an article on zenn.dev,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps",0.805265,0.765625,0.03964
61a4072b-3d43-5942-a0c8-798559da0890,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,61a4072b,c2c524d7,ontask,ontask,1,guardian,guardian,Analyzing sheet music and musical structure in a Notion document,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.803374,0.5625,0.240874
8330fdcc-f68b-5c52-9abf-30110fed1bae,aa018a39-834b-5c92-9d4d-7d262ab0a940,8330fdcc,aa018a39,process,ontask,0,guardian,guardian,browsing Google,Coding and running a script in a terminal,0.802989,0.5,0.302989
7b731675-22bc-5aea-97b4-6e4257cc09e7,8fae381b-b939-561a-9b10-8ef4c18f1717,7b731675,8fae381b,ontask,ontask,1,guardian,guardian,browsing files in a directory,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",0.802685,0.5,0.302685
aa018a39-834b-5c92-9d4d-7d262ab0a940,b6206d50-c064-5090-8102-73c4b04213e5,aa018a39,b6206d50,ontask,ontask,1,guardian,guardian,Coding and running a script in a terminal,Working in a code editor (VS Code) dealing with a connection error and viewing technical documentation.,0.802628,0.5625,0.240128
