clip_cosine,phash_sim,short_a,short_b,id_a,id_b,mode_a,mode_b,human_a,human_b,ai_a,ai_b,vlm_same_label,vlm_verdict,ai_model_a,ai_model_b,activity_a,activity_b
0.824947,0.53125,7b731675,eaa1fff2,7b731675-22bc-5aea-97b4-6e4257cc09e7,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing files in a directory,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.822798,0.6875,b5906b35,ffc8db33,b5906b35-2308-5dd5-995c-2c657973ab47,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Coding on LeetCode,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.822149,0.734375,82e251b1,8c0d8dba,82e251b1-4374-54d7-b5aa-60f5774d6a50,8c0d8dba-5ca5-57d3-b833-d15dd082223e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,editing a resume in Overleaf,reading a novel
0.820812,0.484375,5c742c5b,8330fdcc,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,8330fdcc-f68b-5c52-9abf-30110fed1bae,session,guardian,ontask,process,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,listening to music,browsing Google
0.819366,0.484375,7b731675,8330fdcc,7b731675-22bc-5aea-97b4-6e4257cc09e7,8330fdcc-f68b-5c52-9abf-30110fed1bae,guardian,guardian,ontask,process,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing files in a directory,browsing Google
0.81573,0.4375,9564681e,ffc8db33,9564681e-3740-56c4-aebb-e91bbe5e8984,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Reading documentation and code,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.814326,0.609375,37433e1f,eaa1fff2,37433e1f-7e78-52bb-af11-18977670613a,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Using ChatGPT to write an email,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.805265,0.765625,e308367d,eaa1fff2,e308367d-523f-508c-ac1f-7f817ec62188,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,reading an article on zenn.dev,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.802989,0.5,8330fdcc,aa018a39,8330fdcc-f68b-5c52-9abf-30110fed1bae,aa018a39-834b-5c92-9d4d-7d262ab0a940,guardian,guardian,process,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,Coding and running a script in a terminal
0.800983,0.515625,94d26614,eaa1fff2,94d26614-4322-5882-b6e9-83f76884af64,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Browsing files in a folder named '01 Research',"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.800976,0.171875,e2da4cd4,ffc8db33,e2da4cd4-88ce-57ef-b228-e44d2babaaaa,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing a comment section on a website,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.796529,0.578125,7b731675,ffc8db33,7b731675-22bc-5aea-97b4-6e4257cc09e7,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing files in a directory,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.79574,0.296875,82e251b1,ffc8db33,82e251b1-4374-54d7-b5aa-60f5774d6a50,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,editing a resume in Overleaf,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.794993,0.625,710cf89d,8330fdcc,710cf89d-f859-593e-a988-988f41bf6b0f,8330fdcc-f68b-5c52-9abf-30110fed1bae,guardian,guardian,ontask,process,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.",browsing Google
0.79385,0.4375,e308367d,ffc8db33,e308367d-523f-508c-ac1f-7f817ec62188,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,reading an article on zenn.dev,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.792968,0.765625,bb6bb333,e3548dcc,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,e3548dcc-9539-5c64-9769-8a543bacffd1,session,guardian,ontask,entertainment,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ended' and prompts the user to enter the nex,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.792728,0.375,8c0d8dba,e308367d,8c0d8dba-5ca5-57d3-b833-d15dd082223e,e308367d-523f-508c-ac1f-7f817ec62188,guardian,guardian,entertainment,ontask,entertainment,ontask,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,reading a novel,reading an article on zenn.dev
0.792418,0.546875,8c0d8dba,e2da4cd4,8c0d8dba-5ca5-57d3-b833-d15dd082223e,e2da4cd4-88ce-57ef-b228-e44d2babaaaa,guardian,guardian,entertainment,ontask,entertainment,ontask,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,reading a novel,browsing a comment section on a website
0.792332,0.53125,82e251b1,e3548dcc,82e251b1-4374-54d7-b5aa-60f5774d6a50,e3548dcc-9539-5c64-9769-8a543bacffd1,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,editing a resume in Overleaf,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.790566,0.65625,3f304421,eaa1fff2,3f304421-40f7-5a0f-88f9-15e514c25442,eaa1fff2-4e54-5189-b894-6d46d636db4e,session,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,using ChatGPT,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.789538,0.53125,5c742c5b,eaa1fff2,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,eaa1fff2-4e54-5189-b894-6d46d636db4e,session,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,listening to music,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.788719,0.671875,8330fdcc,e2da4cd4,8330fdcc-f68b-5c52-9abf-30110fed1bae,e2da4cd4-88ce-57ef-b228-e44d2babaaaa,guardian,guardian,process,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,browsing a comment section on a website
0.788542,0.703125,e308367d,e3548dcc,e308367d-523f-508c-ac1f-7f817ec62188,e3548dcc-9539-5c64-9769-8a543bacffd1,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,reading an article on zenn.dev,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.786038,0.609375,8330fdcc,eaa1fff2,8330fdcc-f68b-5c52-9abf-30110fed1bae,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,process,entertainment,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.785106,0.453125,5fa13f9b,8330fdcc,5fa13f9b-04b1-5140-92d1-34d24fc8e3a8,8330fdcc-f68b-5c52-9abf-30110fed1bae,guardian,guardian,ontask,process,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,The user is browsing files in a folder.,browsing Google
0.780307,0.59375,8330fdcc,e308367d,8330fdcc-f68b-5c52-9abf-30110fed1bae,e308367d-523f-508c-ac1f-7f817ec62188,guardian,guardian,process,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,reading an article on zenn.dev
0.779729,0.5625,c2c524d7,eaa1fff2,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ""FocusGuard Agent"", is also visible, dis","Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.776552,0.65625,eaa1fff2,f543a490,eaa1fff2-4e54-5189-b894-6d46d636db4e,f543a490-cbee-51af-a579-2a0759c93f0f,guardian,session,entertainment,ontask,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re",shopping online
0.774374,0.296875,b965f93d,bb6bb333,b965f93d-4db1-5564-9979-60b274deb859,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,guardian,session,entertainment,ontask,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Browsing an adult website with many thumbnail images of adult content.,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ended' and prompts the user to enter the nex
0.769812,0.5625,8330fdcc,94d26614,8330fdcc-f68b-5c52-9abf-30110fed1bae,94d26614-4322-5882-b6e9-83f76884af64,guardian,guardian,process,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,Browsing files in a folder named '01 Research'
0.769702,0.5,c2c524d7,e3548dcc,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,e3548dcc-9539-5c64-9769-8a543bacffd1,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ""FocusGuard Agent"", is also visible, dis",Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.766317,0.46875,7b53754b,ffc8db33,7b53754b-34cb-5caa-bd5d-074bf0bff058,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,qwen/qwen3.7-flash,google/gemini-2.5-flash-lite,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.765385,0.484375,61a4072b,ffc8db33,61a4072b-3d43-5942-a0c8-798559da0890,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,qwen/qwen3.7-flash,google/gemini-2.5-flash-lite,Analyzing sheet music and musical structure in a Notion document,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.764342,0.546875,5fa13f9b,ffc8db33,5fa13f9b-04b1-5140-92d1-34d24fc8e3a8,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,The user is browsing files in a folder.,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.762671,0.640625,ad5aaf5f,e3548dcc,ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,e3548dcc-9539-5c64-9769-8a543bacffd1,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,user is interacting with a blocked application or task manager,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.761484,0.578125,82e251b1,8330fdcc,82e251b1-4374-54d7-b5aa-60f5774d6a50,8330fdcc-f68b-5c52-9abf-30110fed1bae,guardian,guardian,ontask,process,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,editing a resume in Overleaf,browsing Google
0.761404,0.609375,5c742c5b,821a192e,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,821a192e-e25b-5b99-b812-a92e3c26ede7,session,guardian,ontask,entertainment,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,listening to music,watching a youtube video
0.761013,0.5625,8330fdcc,9564681e,8330fdcc-f68b-5c52-9abf-30110fed1bae,9564681e-3740-56c4-aebb-e91bbe5e8984,guardian,guardian,process,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,Reading documentation and code
0.760468,0.703125,710cf89d,e3548dcc,710cf89d-f859-593e-a988-988f41bf6b0f,e3548dcc-9539-5c64-9769-8a543bacffd1,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.",Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.759562,0.484375,eaa1fff2,ffc8db33,eaa1fff2-4e54-5189-b894-6d46d636db4e,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,entertainment,process,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re","The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.757575,0.671875,bb6bb333,eaa1fff2,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,eaa1fff2-4e54-5189-b894-6d46d636db4e,session,guardian,ontask,entertainment,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ended' and prompts the user to enter the nex,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.756775,0.484375,7b53754b,e3548dcc,7b53754b-34cb-5caa-bd5d-074bf0bff058,e3548dcc-9539-5c64-9769-8a543bacffd1,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,qwen/qwen3.7-flash,google/gemini-2.5-flash-lite,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.756285,0.703125,821a192e,f543a490,821a192e-e25b-5b99-b812-a92e3c26ede7,f543a490-cbee-51af-a579-2a0759c93f0f,guardian,session,entertainment,ontask,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,,watching a youtube video,shopping online
0.754833,0.65625,e2da4cd4,e3548dcc,e2da4cd4-88ce-57ef-b228-e44d2babaaaa,e3548dcc-9539-5c64-9769-8a543bacffd1,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing a comment section on a website,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.753937,0.6875,3f304421,e3548dcc,3f304421-40f7-5a0f-88f9-15e514c25442,e3548dcc-9539-5c64-9769-8a543bacffd1,session,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,using ChatGPT,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.753721,0.609375,5c742c5b,8d1602df,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,8d1602df-d44b-56ed-a191-89ccd5740198,session,guardian,ontask,entertainment,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,listening to music,Watching a YouTube video with subtitles and a streamer in the corner.
0.753033,0.578125,aa018a39,eaa1fff2,aa018a39-834b-5c92-9d4d-7d262ab0a940,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Coding and running a script in a terminal,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.75286,0.640625,ad5aaf5f,eaa1fff2,ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,user is interacting with a blocked application or task manager,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.752751,0.578125,9564681e,eaa1fff2,9564681e-3740-56c4-aebb-e91bbe5e8984,eaa1fff2-4e54-5189-b894-6d46d636db4e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Reading documentation and code,"Searching for ""game"" related content on YouTube, with suggestions including ""game play"", ""game theory"", and ""Game Grumps"". A banner showing ""OW HOW"" possibly re"
0.752384,0.53125,8330fdcc,b5906b35,8330fdcc-f68b-5c52-9abf-30110fed1bae,b5906b35-2308-5dd5-995c-2c657973ab47,guardian,guardian,process,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,Coding on LeetCode
0.752234,0.453125,e3548dcc,ffc8db33,e3548dcc-9539-5c64-9769-8a543bacffd1,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,entertainment,process,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Reading a manga titled '青梅竹馬是墮入黑暗的聖女',"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.75137,0.5625,8330fdcc,bb6bb333,8330fdcc-f68b-5c52-9abf-30110fed1bae,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,guardian,session,process,ontask,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ended' and prompts the user to enter the nex
0.74993,0.671875,821a192e,c2c524d7,821a192e-e25b-5b99-b812-a92e3c26ede7,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,guardian,guardian,entertainment,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,watching a youtube video,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ""FocusGuard Agent"", is also visible, dis"
0.748189,0.4375,7b53754b,8c0d8dba,7b53754b-34cb-5caa-bd5d-074bf0bff058,8c0d8dba-5ca5-57d3-b833-d15dd082223e,guardian,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,qwen/qwen3.7-flash,google/gemini-2.5-flash-lite,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,reading a novel
0.74818,0.625,e3548dcc,f543a490,e3548dcc-9539-5c64-9769-8a543bacffd1,f543a490-cbee-51af-a579-2a0759c93f0f,guardian,session,entertainment,ontask,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,,Reading a manga titled '青梅竹馬是墮入黑暗的聖女',shopping online
0.746593,0.46875,8c0d8dba,ad5aaf5f,8c0d8dba-5ca5-57d3-b833-d15dd082223e,ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,guardian,guardian,entertainment,ontask,entertainment,ontask,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,reading a novel,user is interacting with a blocked application or task manager
0.745978,0.5625,5c742c5b,e3548dcc,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,e3548dcc-9539-5c64-9769-8a543bacffd1,session,guardian,ontask,entertainment,ontask,entertainment,0,distinguished_correct,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,listening to music,Reading a manga titled '青梅竹馬是墮入黑暗的聖女'
0.744883,0.375,ad5aaf5f,ffc8db33,ad5aaf5f-5a17-5eb8-bc9a-f614539a3972,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,user is interacting with a blocked application or task manager,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
